mVHrayjG3uZ_RLHkLj-AMg,American (New),"['Bars', 'Nightlife', 'Lounges', 'Restaurants']",4.5,26,Braddock
KayYbHCt-RkbGcPdGOThNg,American (Traditional),"['Bars', 'Nightlife', 'Restaurants']",4.0,23,Carnegie
wJr6kSA5dchdgOdwH6dZ2w,American (Traditional),"['Burgers', 'Breakfast & Brunch', 'Restaurants']",3.5,10,Carnegie
fNGIbpazjTRdXgwRY_NIXA,American (Traditional),"['Bars', 'Nightlife', 'Lounges', 'Restaurants']",4.0,10,Carnegie
b9WZJp5L1RZr4F1nxclOoQ,other,"['Breakfast & Brunch', 'Sandwiches', 'Restaurants']",4.5,69,Carnegie
SQ0j7bgSTazkVQlF5AnqyQ,Chinese,['Restaurants'],2.5,10,Carnegie
wqu7ILomIOPSduRwoWp4AQ,American (Traditional),"['Breakfast & Brunch', 'Diners', 'Restaurants']",3.5,16,Pittsburgh
P1fJb2WQ1mXoiudj8UE44w,Italian,['Restaurants'],3.5,81,Carnegie
PK6aSizckHFWk8i0oxt5DA,other,"['Burgers', 'Fast Food', 'Restaurants']",2.0,12,Homestead
6ilJq_05xRgek_8qUp36-g,other,"['Burgers', 'Fast Food', 'Restaurants']",2.0,60,Munhall
1qCuOcks5HRv67OHovAVpg,American (New),"['Pubs', 'Bars', 'Nightlife', 'Restaurants']",3.5,33,Homestead
sbW8qHJgzEIH42B0S-3New,American (Traditional),"['Arts & Entertainment', 'Bars', 'Pubs', 'Arcades', 'Nightlife', 'Restaurants']",2.5,106,Homestead
McikHxxEqZ2X0joaRNKlaw,American (Traditional),"['Food', 'Breweries', 'Restaurants']",3.5,148,Homestead
EoAY1JSVeJriBzId8lUQwQ,American (New),"['Bars', 'Nightlife', 'Restaurants']",2.5,92,West Homestead
tU-YtoW339PXJmUGSix_AQ,American (Traditional),"['Bars', 'Nightlife', 'Restaurants']",2.5,23,Homestead
6p9TlP2I8S4agxYMNFSDjg,American (Traditional),"['Pizza', 'Gluten-Free', 'Restaurants']",3.0,55,Homestead
JDDeaNfb0JXD1NbznSIC9g,Chinese,"['Gluten-Free', 'Asian Fusion', 'Restaurants']",3.0,95,Homestead
FiXamVMgMf9U0VqFHDZSEA,other,"['Soup', 'Sandwiches', 'Salad', 'Restaurants']",3.0,25,West Homestead
uLnDFdn011hEroQQMLmxNQ,other,"['Pizza', 'Restaurants']",4.0,12,Munhall
eznh0XjVtv924K-KYx_ilQ,American (Traditional),"['Diners', 'Restaurants']",3.0,51,Homestead
usSROUMiAgPcxV3Ym0OxMQ,American (Traditional),"['Seafood', 'Restaurants']",3.5,122,Homestead
r8BwdblCW-ZUES37BL0khw,other,"['Burgers', 'Breakfast & Brunch', 'Diners', 'Restaurants']",4.5,21,McKees Rocks
mIiHJkpK8nZvW_45LlhrbA,other,"['Pizza', 'Restaurants']",4.0,13,Mc Kees Rocks
8Nm_jcCYtMXYW0ODSHDiXA,Japanese,"['Seafood', 'Steakhouses', 'Restaurants']",4.0,10,Pittsburgh
T49ZvBa6mD4xHSmjHe-ArA,other,"['Pizza', 'Restaurants']",4.0,17,Bellvue
eOv0Dbq2E8sd0CKMAqTImw,other,"['Pizza', 'Restaurants']",4.0,18,Bellevue
Lml0-yTNsMYsP9IrSMxw9A,Chinese,['Restaurants'],2.5,11,Bellevue
ucKQlQvOeJxETLNkpKcaSw,American (Traditional),['Restaurants'],3.5,32,Bellevue
ZL6DNzyenFm9Kpz6uADlNg,Italian,"['Tapas/Small Plates', 'Restaurants']",3.0,65,Pittsburgh
Y2p07YEC8xOsYTHWf0UxiA,Chinese,['Restaurants'],3.0,26,Pittsburgh
g58NW9q4F09wTMiI7EIjmg,other,"['Pizza', 'Restaurants']",3.0,17,Pittsburgh
83_p9vIqOq1TUIf3_GD7bA,other,"['Food', 'Coffee & Tea', 'Cafes', 'Restaurants']",4.5,117,Pittsburgh
Ts4xsKPU7FNPPZRj-nRjIg,other,"['Bars', 'Restaurants', 'Sports Bars', 'Barbeque', 'Nightlife']",3.0,62,Pittsburgh
UtWJ8NGMg-3z28s0RzlUoQ,Chinese,['Restaurants'],3.0,18,Pittsburgh
B9C6j80ob0f1pwi1Cnnd1Q,other,"['Pizza', 'Restaurants']",3.0,37,Pittsburgh
tvXTHj9V5sgRoeVJW_FiTg,Chinese,['Restaurants'],3.0,12,Pittsburgh
2SwC8wqpZC4B9iFVTgYT9A,other,"['Bars', 'Mediterranean', 'Wine Bars', 'Nightlife', 'Restaurants', 'Diners']",4.0,276,Pittsburgh
PzG0XmAmtXFs6Fdnubf41g,other,"['Food', 'Coffee & Tea', 'Vegetarian', 'Restaurants']",4.0,144,Pittsburgh
lHP5STO7aomlEQixH8m1aA,other,"['Pizza', 'Restaurants']",4.0,81,Pittsburgh
-iVcmhjfq79QoTWzrb6pKg,other,"['Health Markets', 'Food', 'Vegetarian', 'Restaurants', 'Specialty Food']",4.5,79,Pittsburgh
l_Wey2YC6NvVUIH8vTygGg,other,"['Portuguese', 'Mediterranean', 'Restaurants']",4.0,69,Pittsburgh
qUeBDN0D8SC93KeAHhiL-g,Italian,['Restaurants'],4.5,111,Pittsburgh
LltDzuzRbAJbSrqD4JH-3A,Chinese,['Restaurants'],3.0,12,Pittsburgh
QIJa5h2d65Bgh82zct7c7A,American (Traditional),"['Diners', 'Restaurants']",4.0,22,Pittsburgh
PTkChuI3GPCw-ZL1Iph76A,Italian,"['Pizza', 'Restaurants']",4.0,10,Pittsburgh
Ga0y-XHa4os_VvoHz21bfQ,other,"['Pizza', 'Restaurants']",3.0,12,Pittsburgh
IxQ1ATP_Wg_QujO9nywzcQ,German,"['Pubs', 'Bars', 'Nightlife', 'Restaurants']",4.0,162,Pittsburgh
TyIsuojeKcTb4Acfg7xqew,Chinese,['Restaurants'],4.0,11,Pittsburgh
oj8bMz76cKXQClpFTFNW9w,other,"['Delis', 'Restaurants']",4.5,11,Pittsburgh
k1A8pNspBPinGDivxkuDSA,American (Traditional),"['Bars', 'Nightlife', 'Restaurants']",3.5,11,Pittsburgh
e5DtayybW4jbKcDBwEUmOQ,American (Traditional),['Restaurants'],3.5,11,Pittsburgh
q_BKmbdlYfQJroJVHfYMUQ,Italian,['Restaurants'],4.0,94,Pittsburgh
Z101WZaISochG6g7tI2ZVw,American (New),"['Sandwiches', 'Restaurants']",3.0,69,Pittsburgh
Eixtf79t1_ZKaC-7J2kAWg,other,"['Pizza', 'Restaurants']",3.0,16,Pittsburgh
Z0OGW8PysysRXE0dR7QxQQ,other,"['Barbeque', 'Restaurants']",4.0,20,Pittsburgh
yfuoL_w76WFVHcGJbw0IIg,other,"['Pizza', 'Restaurants']",3.5,11,Pittsburgh
AAcw9y30cRuMo0oa8UBiIw,other,"['Pizza', 'Restaurants']",3.0,12,Pittsburgh
YUZVBdGmagwXV-yOhR-1GQ,other,"['Seafood', 'Restaurants']",3.0,12,Pittsburgh
OIL-eZX8d10jgWPLW-E7zA,other,"['Pizza', 'Restaurants']",2.5,14,Pittsburgh
PSlOtPIo28BvWOzdLmRRRQ,Polish,"['Greek', 'Restaurants']",3.5,16,Pittsburgh
wan0X-oHpLgGTPXqaICZCw,American (Traditional),"['Bars', 'Nightlife', 'Restaurants']",4.0,17,Pittsburgh
QnyzlVMyx0Exri-Lay10cA,Japanese,"['Sushi Bars', 'Restaurants']",3.5,23,Pittsburgh
81sqVj0xHyJXGYT0ip5fmQ,Chinese,['Restaurants'],2.5,13,Pittsburgh
93UCt9OgWYmypZCpXtUu8g,other,"['Pizza', 'Sandwiches', 'Salad', 'Restaurants']",4.0,145,Pittsburgh
